City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fukue,JP,32.6881,128.8419,63.57,78,94,4.54,overcast clouds
1,Ancud,CL,-41.8697,-73.8203,52.84,84,94,19.33,light rain
2,Albany,US,42.6001,-73.9662,79.74,61,97,7.0,overcast clouds
3,Portland,US,45.5234,-122.6762,57.99,66,99,1.99,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,44.83,82,36,18.52,scattered clouds
5,Dzhuryn,UA,49.0329,25.5839,59.49,73,9,8.39,clear sky
6,Rikitea,PF,-23.1203,-134.9692,72.63,78,100,0.74,overcast clouds
7,Katsuura,JP,35.1333,140.3,66.67,80,100,11.54,light rain
8,Hasaki,JP,35.7333,140.8333,64.8,77,100,12.71,overcast clouds
9,Changzhou,CN,31.7833,119.9667,63.59,87,91,2.89,overcast clouds
10,Brae,GB,60.3964,-1.353,51.24,86,99,10.49,overcast clouds
11,Iskateley,RU,67.6803,53.1512,29.16,91,100,14.38,overcast clouds
12,Cayenne,GF,4.9333,-52.3333,75.24,1,75,5.75,moderate rain
13,Punta Arenas,CL,-53.15,-70.9167,42.91,81,100,8.05,overcast clouds
14,Kapaa,US,22.0752,-159.319,79.12,84,50,1.01,scattered clouds
15,Butaritari,KI,3.0707,172.7902,81.46,73,20,16.28,few clouds
16,Yellowknife,CA,62.456,-114.3525,57.72,19,75,5.75,broken clouds
17,Constitucion,CL,-35.3333,-72.4167,58.75,69,0,5.44,clear sky
18,Mashhad,IR,36.297,59.6062,71.74,49,0,4.61,clear sky
19,Busselton,AU,-33.65,115.3333,56.07,84,2,7.49,clear sky
20,Saldanha,ZA,-33.0117,17.9442,51.85,70,2,15.08,clear sky
21,Hilo,US,19.7297,-155.09,81.63,85,18,8.01,few clouds
22,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,38,10.94,light rain
23,San Policarpo,PH,12.1791,125.5072,81.16,80,100,8.75,overcast clouds
24,Santarem,BR,-2.4431,-54.7083,73.53,94,100,2.3,moderate rain
25,Nicoya,CR,10.1483,-85.452,82.29,74,97,6.06,overcast clouds
26,Houma,US,29.5958,-90.7195,89.6,64,40,14.97,scattered clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,40,10.36,scattered clouds
28,Lakeside,US,30.13,-81.7682,94.93,51,40,9.22,scattered clouds
29,Ushuaia,AR,-54.8,-68.3,47.86,57,40,12.66,scattered clouds
30,Norman Wells,CA,65.282,-126.8329,51.84,54,75,5.75,broken clouds
31,Jamestown,US,42.097,-79.2353,69.51,84,100,13.8,overcast clouds
32,Xam Nua,LA,20.4197,104.0439,68.09,100,100,1.77,overcast clouds
33,Chokurdakh,RU,70.6333,147.9167,33.71,98,100,3.91,overcast clouds
34,Kodiak,US,57.79,-152.4072,45.91,76,100,14.97,overcast clouds
35,Labrea,BR,-7.2586,-64.7981,86.59,42,40,1.39,scattered clouds
36,Preston,GB,53.7667,-2.7167,58.98,92,38,16.58,scattered clouds
37,General Pico,AR,-35.6566,-63.7568,68.34,23,100,4.5,overcast clouds
38,Mataura,NZ,-46.1927,168.8643,46.47,90,100,13.53,overcast clouds
39,Kamina,CD,-8.7386,24.9906,68.13,63,63,2.04,broken clouds
40,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,5.75,broken clouds
41,Pouebo,NC,-20.4,164.5667,74.82,85,4,9.66,clear sky
42,New Norfolk,AU,-42.7826,147.0587,42.3,85,10,2.3,clear sky
43,Kirakira,SB,-10.4544,161.9205,78.85,83,13,2.24,few clouds
44,Pevek,RU,69.7008,170.3133,32.74,97,77,5.35,broken clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,63.95,57,0,18.41,clear sky
46,Hermanus,ZA,-34.4187,19.2345,51.8,69,13,2.64,few clouds
47,Gat,IL,31.61,34.7642,82.4,42,96,8.68,overcast clouds
48,Baykit,RU,61.67,96.37,47.88,92,51,3.0,broken clouds
49,Nikolskoye,RU,59.7035,30.7861,48.09,71,97,6.17,overcast clouds
50,Coihaique,CL,-45.5752,-72.0662,47.01,81,75,5.75,broken clouds
51,Lasa,IT,46.6166,10.7002,61.21,93,100,5.35,overcast clouds
52,Codrington,AU,-38.2667,141.9667,43.14,91,12,6.31,few clouds
53,Karratha,AU,-20.7377,116.8463,76.12,73,99,7.23,light rain
54,Isla Aguada,MX,18.7833,-91.4667,90.46,59,18,6.6,few clouds
55,Batagay,RU,67.6333,134.6333,33.6,88,19,2.82,few clouds
56,Cape Town,ZA,-33.9258,18.4232,57.61,77,0,5.75,clear sky
57,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,9.22,light snow
58,Yulara,AU,-25.2406,130.9889,54.37,66,9,9.28,clear sky
59,Pacific Grove,US,36.6177,-121.9166,73.24,73,27,7.0,scattered clouds
60,Khatanga,RU,71.9667,102.5,28.35,87,100,9.6,overcast clouds
61,Jalu,LY,29.0331,21.5482,75.56,22,0,19.39,clear sky
62,Manokwari,ID,-0.8667,134.0833,78.03,82,17,2.21,few clouds
63,Crib Point,AU,-38.35,145.2,44.6,84,0,5.68,clear sky
64,Cabo San Lucas,MX,22.8909,-109.9124,84.61,57,3,14.34,clear sky
65,Kushmurun,KZ,52.4503,64.6311,55.18,87,100,9.98,light rain
66,Henties Bay,NA,-22.116,14.2845,57.43,79,0,22.95,clear sky
67,Anadyr,RU,64.75,177.4833,32.5,93,100,2.24,overcast clouds
68,Alofi,NU,-19.0595,-169.9187,67.89,100,66,1.14,broken clouds
69,Carnarvon,AU,-24.8667,113.6333,69.73,68,0,15.95,clear sky
70,Pitimbu,BR,-7.4706,-34.8086,86.59,78,70,7.87,broken clouds
71,Ozinki,RU,51.1786,49.6769,46.04,85,100,16.58,overcast clouds
72,Saskylakh,RU,71.9167,114.0833,27.81,94,100,1.1,overcast clouds
73,Guerrero Negro,MX,27.9769,-114.0611,72.28,49,0,7.85,clear sky
74,Muros,ES,42.7762,-9.0603,74.68,59,64,12.24,broken clouds
75,Atuona,PF,-9.8,-139.0333,77.2,68,1,10.63,clear sky
76,Viedma,AR,-40.8135,-62.9967,65.14,28,100,12.17,overcast clouds
77,Faridpur,BD,23.6,89.8333,80.98,84,0,7.9,clear sky
78,Beringovskiy,RU,63.05,179.3167,33.69,92,87,3.98,overcast clouds
79,Severo-Kurilsk,RU,50.6789,156.125,42.89,89,100,6.82,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,52.63,75,7,4.74,clear sky
81,Dikson,RU,73.5069,80.5464,28.53,82,100,4.18,overcast clouds
82,Launceston,AU,-41.45,147.1667,43.16,94,75,4.61,broken clouds
83,Mehamn,NO,71.0357,27.8492,37.31,78,98,17.92,overcast clouds
84,Sitka,US,57.0531,-135.33,62.01,47,0,3.02,clear sky
85,Castro,BR,-24.7911,-50.0119,59.47,54,0,5.95,clear sky
86,Provideniya,RU,64.3833,-173.3,45.66,59,13,11.16,few clouds
87,Miguel Hidalgo,MX,19.4225,-99.2028,79.43,21,80,5.91,broken clouds
88,Turayf,SA,31.6725,38.6637,82.65,17,0,8.05,clear sky
89,Bengkulu,ID,-3.8004,102.2655,76.08,87,65,3.74,broken clouds
90,Dunedin,NZ,-45.8742,170.5036,47.8,69,55,21.0,broken clouds
91,Taurage,LT,55.2522,22.2897,51.08,97,100,7.78,overcast clouds
92,Tasiilaq,GL,65.6145,-37.6368,37.56,77,23,2.28,few clouds
93,Isangel,VU,-19.55,169.2667,77.65,87,100,21.74,light rain
94,Yenagoa,NG,4.9247,6.2642,77.49,91,99,5.99,overcast clouds
95,Qaanaaq,GL,77.484,-69.3632,18.7,74,13,3.44,few clouds
96,Antofagasta,CL,-23.65,-70.4,67.86,63,23,7.92,few clouds
97,Southampton,GB,50.904,-1.4043,60.01,80,75,13.8,broken clouds
98,Hithadhoo,MV,-0.6,73.0833,83.23,72,31,9.57,scattered clouds
99,East London,ZA,-33.0153,27.9116,60.67,84,100,11.92,moderate rain
100,Yuncheng,CN,35.0231,110.9928,67.44,38,100,5.55,overcast clouds
101,Chuy,UY,-33.6971,-53.4616,61.03,55,5,7.72,clear sky
102,Togur,RU,58.3631,82.8265,53.26,79,67,15.5,light rain
103,Barrow,US,71.2906,-156.7887,30.22,100,100,12.66,fog
104,Talnakh,RU,69.4865,88.3972,40.51,84,100,7.11,light rain
105,Yar-Sale,RU,66.8333,70.8333,33.64,92,100,22.5,light snow
106,Qaqortoq,GL,60.7167,-46.0333,40.53,75,22,3.8,few clouds
107,Waingapu,ID,-9.6567,120.2641,77.29,83,82,8.23,broken clouds
108,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,3.44,mist
109,Narasannapeta,IN,18.4167,84.05,83.79,79,100,13.4,overcast clouds
110,Tiksi,RU,71.6872,128.8694,30.52,85,100,7.43,overcast clouds
111,Ojinaga,MX,29.5667,-104.4167,94.57,16,0,6.91,clear sky
112,Flinders,AU,-34.5833,150.8552,56.17,91,93,1.99,light rain
113,Mahebourg,MU,-20.4081,57.7,76.24,72,26,15.9,scattered clouds
114,Bluff,NZ,-46.6,168.3333,47.8,76,100,31.18,overcast clouds
115,Hami,CN,42.8,93.45,73.15,32,1,18.84,clear sky
116,Puerto Vallarta,MX,20.6204,-105.2307,92.25,32,3,7.61,clear sky
117,Hamilton,US,39.1834,-84.5333,88.92,53,95,5.01,overcast clouds
118,Te Anau,NZ,-45.4167,167.7167,42.82,84,100,4.74,overcast clouds
119,Lendava,SI,46.5649,16.4509,69.94,21,2,6.02,clear sky
120,Lazaro Cardenas,MX,17.9583,-102.2,83.75,52,86,11.83,overcast clouds
121,Lewisporte,CA,49.2499,-55.0482,58.71,37,0,6.87,clear sky
122,Rotenburg,DE,53.1167,9.4,63.32,89,100,17.63,light rain
123,Dudinka,RU,69.4058,86.1778,40.86,89,100,14.79,light rain
124,Longyearbyen,SJ,78.2186,15.6401,33.64,64,75,12.66,broken clouds
125,Itarema,BR,-2.9248,-39.9167,82.56,77,100,6.6,overcast clouds
126,Tsabong,BW,-26.0217,22.401,44.58,85,100,13.09,moderate rain
127,Kahului,US,20.8947,-156.47,84.22,54,40,4.61,scattered clouds
128,Derzhavinsk,KZ,51.1,66.3167,61.93,72,100,11.18,overcast clouds
129,Muscat,OM,23.6139,58.5922,96.17,33,6,7.18,clear sky
130,Ormara,PK,25.2088,64.6357,81.82,91,0,13.8,clear sky
131,Edd,ER,13.9297,41.6925,87.1,61,99,5.79,overcast clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,33.1,89,97,2.95,overcast clouds
133,Hobart,AU,-42.8794,147.3294,42.66,92,100,4.61,overcast clouds
134,Sindor,RU,62.8629,51.8905,37.0,62,100,9.84,overcast clouds
135,Ilulissat,GL,69.2167,-51.1,37.42,70,40,9.22,scattered clouds
136,Pedra Azul,BR,-16.0053,-41.2972,79.23,17,100,6.22,overcast clouds
137,Maceio,BR,-9.6658,-35.7353,76.44,83,75,6.91,broken clouds
138,Kalmunai,LK,7.4167,81.8167,82.26,72,95,5.59,overcast clouds
139,Moron,AR,-34.6534,-58.6198,65.95,55,26,6.91,scattered clouds
140,Grindavik,IS,63.8424,-22.4338,54.07,76,75,6.91,light rain
141,Geraldton,AU,-28.7667,114.6,54.01,94,0,9.22,clear sky
142,Port Lincoln,AU,-34.7333,135.8667,56.59,63,0,12.39,clear sky
143,Kaele,CM,10.1092,14.4508,92.1,34,87,8.39,overcast clouds
144,Russell,US,32.3502,-85.1999,89.91,45,20,6.91,few clouds
145,Vaini,TO,-21.2,-175.2,77.13,66,99,10.56,overcast clouds
146,Chilliwack,CA,49.1747,-121.9443,65.35,53,71,4.03,broken clouds
147,Outjo,NA,-20.1167,16.15,50.07,16,0,9.86,clear sky
148,Kloulklubed,PW,7.0419,134.2556,82.72,77,94,12.08,overcast clouds
149,Dingle,PH,10.9995,122.6711,77.14,92,100,5.06,light rain
150,Georgetown,MY,5.4112,100.3354,82.33,78,20,0.0,few clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,76.55,91,87,4.0,overcast clouds
152,Ibra,OM,22.6906,58.5334,86.56,34,3,4.99,clear sky
153,Ponta Do Sol,PT,32.6667,-17.1,71.01,80,61,1.74,broken clouds
154,Bani Walid,LY,31.7566,13.9942,68.29,46,0,15.99,clear sky
155,Juneau,US,58.3019,-134.4197,60.84,71,4,3.98,clear sky
156,Banda Aceh,ID,5.5577,95.3222,80.73,80,100,9.28,overcast clouds
157,Cidreira,BR,-30.1811,-50.2056,61.84,63,0,8.03,clear sky
158,Malakal,SS,9.5334,31.6605,87.08,49,100,4.65,overcast clouds
159,Rosetta,EG,31.4044,30.4164,68.77,84,0,14.61,clear sky
160,Vilhena,BR,-12.7406,-60.1458,78.6,29,100,1.32,overcast clouds
161,Airai,TL,-8.9266,125.4092,57.72,91,48,3.91,scattered clouds
162,Upernavik,GL,72.7868,-56.1549,30.0,77,93,13.44,overcast clouds
163,Alice Springs,AU,-23.7,133.8833,42.35,93,0,0.0,clear sky
164,Turkistan,KZ,43.0,68.0,76.87,32,0,7.25,clear sky
165,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,5.75,broken clouds
166,Port Blair,IN,11.6667,92.75,83.26,79,100,17.74,overcast clouds
167,Matara,LK,5.9485,80.5353,77.56,92,30,8.41,scattered clouds
168,Cotonou,BJ,6.3654,2.4183,80.67,83,92,9.8,light rain
169,Victoria,HK,22.2855,114.1577,79.18,86,2,1.01,clear sky
170,Kavieng,PG,-2.5744,150.7967,81.43,78,86,10.58,light rain
171,Coquimbo,CL,-29.9533,-71.3436,64.47,66,100,9.35,overcast clouds
172,Haines Junction,CA,60.7522,-137.5108,53.62,53,1,1.5,clear sky
173,Aykhal,RU,66.0,111.5,34.14,95,100,0.89,overcast clouds
174,Port Alfred,ZA,-33.5906,26.891,61.77,73,100,7.29,light rain
175,Charlestown,AU,-32.95,151.6667,57.72,96,82,4.0,light rain
176,Goundi,TD,9.3627,17.366,86.29,51,88,9.91,overcast clouds
177,Kualakapuas,ID,-3.0091,114.3876,75.11,95,100,0.65,overcast clouds
178,Fortuna,US,40.5982,-124.1573,65.86,57,0,14.97,clear sky
179,Xuanwu,CN,32.069,118.8138,64.17,82,80,3.44,broken clouds
180,Terney,RU,45.0503,136.6092,45.1,96,41,3.18,scattered clouds
181,Kelapa Sawit,MY,1.6698,103.5327,76.24,91,27,1.79,scattered clouds
182,Vrangel,RU,42.7297,133.0839,51.35,86,16,1.3,few clouds
183,Hambantota,LK,6.1241,81.1185,79.14,100,20,6.91,few clouds
184,Areosa,PT,41.7178,-8.8571,70.54,65,99,14.16,overcast clouds
185,Lebu,CL,-37.6167,-73.65,54.88,84,27,8.86,scattered clouds
186,Ngunguru,NZ,-35.6167,174.5,55.45,67,17,12.97,few clouds
187,Salalah,OM,17.0151,54.0924,81.23,81,21,2.84,few clouds
188,Lompoc,US,34.6391,-120.4579,72.7,66,8,7.0,clear sky
189,Miles City,US,46.4083,-105.8406,43.77,70,100,28.77,overcast clouds
190,Kamenka,RU,51.3223,42.7678,41.02,77,11,6.85,few clouds
191,Caravelas,BR,-17.7125,-39.2481,72.91,62,0,6.4,clear sky
192,Boende,CD,-0.2167,20.8667,70.93,99,100,1.88,overcast clouds
193,Payakumbuh,ID,-0.2202,100.6308,71.38,97,100,3.15,light rain
194,Vanavara,RU,60.34,102.2797,49.71,89,100,4.32,overcast clouds
195,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.69,55,61,11.43,broken clouds
196,Camocim,BR,-2.9022,-40.8411,82.2,79,81,5.08,moderate rain
197,Umm Kaddadah,SD,13.6017,26.6876,87.67,9,22,12.73,few clouds
198,Bereda,ES,43.2686,-7.5406,63.41,76,93,6.35,overcast clouds
199,Lorengau,PG,-2.0226,147.2712,81.01,79,100,8.34,overcast clouds
200,Manadhoo,MV,5.7667,73.3833,83.05,78,60,14.34,broken clouds
201,Lavrentiya,RU,65.5833,-171.0,34.38,91,72,6.73,broken clouds
202,Ahipara,NZ,-35.1667,173.1667,57.33,66,97,14.81,overcast clouds
203,Luanda,AO,-8.8368,13.2343,72.95,86,0,11.25,clear sky
204,Mount Isa,AU,-20.7333,139.5,65.97,68,0,9.22,clear sky
205,Namatanai,PG,-3.6667,152.4333,78.58,82,30,5.5,scattered clouds
206,Calabozo,VE,8.9242,-67.4293,92.17,38,34,10.49,scattered clouds
207,Miyako,JP,39.6367,141.9525,57.45,60,98,5.37,overcast clouds
208,Nabire,ID,-3.3667,135.4833,75.33,91,44,2.98,scattered clouds
209,Mountain Home,US,43.133,-115.6912,56.62,31,13,11.63,few clouds
210,Champerico,GT,14.3,-91.9167,85.93,65,100,7.83,overcast clouds
211,Nome,US,64.5011,-165.4064,60.12,50,31,13.69,scattered clouds
212,Oistins,BB,13.0667,-59.5333,80.85,69,31,17.4,scattered clouds
213,Ginda,IN,30.6945,78.4932,64.33,30,0,8.43,clear sky
214,Darnah,LY,32.767,22.6367,64.63,70,0,20.11,clear sky
215,Darayya,SY,33.459,36.2374,74.16,25,10,3.71,clear sky
216,Sao Filipe,CV,14.8961,-24.4956,74.16,73,17,10.78,few clouds
217,Cherskiy,RU,68.75,161.3,48.29,61,6,16.13,clear sky
218,Kasongo-Lunda,CD,-6.4667,16.8167,75.63,63,97,0.98,overcast clouds
219,Nuristan,AF,35.3,70.8333,37.2,68,85,9.4,overcast clouds
220,Sabzevar,IR,36.2126,57.6819,76.98,21,0,7.81,clear sky
221,Povenets,RU,62.8487,34.8262,37.51,73,94,6.06,overcast clouds
222,Kavaratti,IN,10.5669,72.642,82.51,78,100,10.11,overcast clouds
223,Kudahuvadhoo,MV,2.6708,72.8944,83.52,75,25,12.62,scattered clouds
